pose_id,x_nose,x_left_eye_inner,x_left_eye,x_left_eye_outer,x_right_eye_inner,x_right_eye,x_right_eye_outer,x_left_ear,x_right_ear,x_left_shoulder,x_right_shoulder,x_left_elbow,x_right_elbow,x_left_wrist,x_right_wrist,x_left_hip,x_right_hip,x_left_knee,x_right_knee,x_left_ankle,x_right_ankle,y_nose,y_left_eye_inner,y_left_eye,y_left_eye_outer,y_right_eye_inner,y_right_eye,y_right_eye_outer,y_left_ear,y_right_ear,y_left_shoulder,y_right_shoulder,y_left_elbow,y_right_elbow,y_left_wrist,y_right_wrist,y_left_hip,y_right_hip,y_left_knee,y_right_knee,y_left_ankle,y_right_ankle,pose,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle
1087,0.000146887796875,-0.0022611160416666,-0.0017830873437499,-0.0025143752083333,-0.00271526046875,-0.004767843125,-0.00447603015625,-0.009946825,-0.0098164334375,-0.03171639375,0.0018506167187499,-0.0114274583333333,0.025940471875,0.0092635322916666,0.0220065265625,-0.005409318125,0.00405698859375,0.0326530041666666,0.038525659375,0.0534990229166666,0.043012821875,-0.1142672083333333,-0.09090033125,-0.1212451875,-0.0909240249999999,-0.1206136458333333,-0.0901717125,-0.1197251666666666,-0.088091278125,-0.1153103749999999,-0.064007609375,-0.0787366041666666,-0.04686184375,-0.0687626125,-0.0363350875,-0.0838493583333333,-0.0031764765625,0.0042353241666666,-0.0420860296875,-0.0671095125,-0.0119011375,-0.0094413927083333,situp_up,52.8941065684057,166.7647177688232,30.235703493603406,78.99875513990723
1088,-0.00356787890625,-0.0059831127083333,-0.0048511084375,-0.0070361697916666,-0.00467347234375,-0.0067649045833333,-0.0055243325,-0.012611780625,-0.00921531875,-0.0215833541666666,-0.0141805109374999,-0.004624281875,-0.0019687284375,0.0016232902083333,0.00303372484375,-4.76427375e-05,3.5732053125e-05,0.0372089104166666,0.0311797265625,0.0731355833333333,0.0600251406249999,-0.0928550833333333,-0.073170440625,-0.09765911875,-0.073389765625,-0.0976667395833333,-0.0733141125,-0.0978741458333333,-0.0730563515625,-0.0967655625,-0.0605323375,-0.080963625,-0.0844123953125,-0.1148865416666666,-0.112255421875,-0.156841875,-0.00394954421875,0.0052660360416666,-0.0254705187499999,-0.0266900375,-0.00337424609375,0.0030686429166666,situp_up,167.00126073146163,157.265367736635,88.36985538546978,118.3943373661021
1089,0.0009275024999999,0.0034604306249999,0.00302280359375,0.00463401625,0.0023693926562499,0.00350115,0.00287570765625,0.0088724802083333,0.00528991328125,0.0150638054166666,0.0074726234375,0.0059594602083333,-0.001061991515625,0.00674337,6.588846406249999e-05,0.0013619633333333,-0.00102147953125,-0.0253711291666666,-0.017639921875,-0.049050625,-0.033375340625,-0.1010081458333333,-0.079054534375,-0.10532585,-0.0789929625,-0.1056739166666666,-0.079296540625,-0.1058118416666666,-0.0780183375,-0.1044983395833333,-0.062914140625,-0.0808913395833333,-0.0884626328125,-0.10773225625,-0.116594578125,-0.1520592999999999,0.0029784778125,-0.00397130375,-0.03988210625,-0.0555345833333333,0.0022520590625,-0.0024575004166666,situp_up,160.9033315634156,158.79003535270544,34.37689466866527,61.28878545964151
1090,0.00572781671875,0.0105915595833333,0.0085639946875,0.0123038610416666,0.0075135234375,0.0104440833333333,0.0082156140625,0.0190251583333333,0.0133308296875,0.0243749354166666,0.0146043687499999,-0.0180157760416666,-0.012953578125,-0.0215147416666666,-0.0216132484375,0.00169843125,-0.0012737949375,-0.0546782541666666,-0.040542134375,-0.1020272708333333,-0.075161,-0.106195625,-0.08434309375,-0.11230971875,-0.08413476875,-0.1130892833333333,-0.0849913234375,-0.113560025,-0.0823733390625,-0.1112818,-0.0552343125,-0.0871497145833333,-0.03161231875,-0.0566085374999999,-0.05112530625,-0.0630764520833333,0.00459110546875,-0.0061214739583333,-0.0423368484375,-0.05446736875,-0.000544316140625,-0.00431265375,situp_up,95.30451822317583,71.03743646922035,73.69984002379366,98.79282106565564
1091,-0.00902829171875,-0.0094369166666666,-0.0064461828124999,-0.0076834524999999,-0.00726469453125,-0.0089787979166666,-0.00611093234375,0.0016531214583333,0.0011625571875,0.0011816979166666,0.00661789625,-0.014901768125,0.00074745609375,-0.0262767666666666,-0.01089393046875,-0.002724148125,0.00204311109375,-0.0466638041666666,-0.02965576875,-0.0868970479166666,-0.06136053125,-0.119537375,-0.0948553078125,-0.1263552666666666,-0.0946270234375,-0.12666375625,-0.095047703125,-0.1268054333333333,-0.090832421875,-0.1227960270833333,-0.0602741406249999,-0.0860005541666666,-0.0153538249999999,-0.0328410333333333,-0.0085038915625,-0.00863035625,0.0036277565625,-0.00483702625,-0.043076490625,-0.0716919499999999,-0.00739547609375,-0.0158309666666666,situp_up,160.62171231485272,140.75563640724107,54.945447213182355,91.68470585352027
1092,-0.0158488609375,-0.0176507875,-0.0122930046875,-0.0150431135416666,-0.0142396546875,-0.0186679229166666,-0.013712428125,-0.005122624375,-0.0072981953125,0.0101840904166666,-0.0057672675,-0.01841315625,-0.023756121875,-0.0542392208333333,-0.0398884562499999,0.0076671333333333,-0.0057503499999999,-0.0223321083333333,-0.0479344875,-0.0483559208333333,-0.0338083953125,-0.11797796875,-0.093350309375,-0.1246259791666666,-0.093624603125,-0.12500775625,-0.0941450125,-0.1260943125,-0.091549634375,-0.1231573895833333,-0.0576125937499999,-0.0898312083333333,-0.0217305609374999,-0.0535377666666666,-0.00346314203125,-0.0368890166666666,0.0077665687499999,-0.010355425,-0.014399271875,-0.04392596875,0.00110359421875,0.0030503495833333,situp_up,162.2678601517092,155.57079374541274,34.75050420450053,112.75700629568479
1093,0.0050324834375,0.0106411904166666,0.0102782390625,0.0167238833333333,0.0018343721875,-0.0003815862083333,-0.00235545453125,0.0209411916666666,-0.00519688875,0.0452013854166666,-0.0231363671875,0.0212934208333333,-0.0424325734374999,-0.02941134375,-0.054550375,0.0201727052083333,-0.0151295015625,-0.0216080833333333,-0.0656293125,-0.0785753333333333,-0.137423921875,-0.0896710479166666,-0.0758645359375,-0.1022284375,-0.077737909375,-0.1023057291666666,-0.07800471875,-0.1058045541666666,-0.083881671875,-0.1132979229166666,-0.051606640625,-0.0972386520833333,0.01059636625,-0.0301184041666666,0.02214615,0.0293908416666666,0.0094921921875,-0.01265625625,0.0445524875,0.03200595,0.0910729171875,0.05397783125,situp_up,175.47045402769234,123.85662691861006,155.5264484000858,179.23401237395726
1094,0.0314260953125,0.0407933916666666,0.0303464562499999,0.04002228125,0.0295901781249999,0.0381136729166666,0.027426090625,0.0281923791666666,0.0195198843749999,0.016537281875,0.004617061875,0.0404858229166666,0.02987849375,0.07092378125,0.0580861203125,0.0055762816666666,-0.00418221125,0.0495847104166666,0.024127371875,0.0569175604166666,0.0453081078125,-0.1154350520833333,-0.093096671875,-0.1248656104166666,-0.0942842124999999,-0.1234250416666666,-0.092714428125,-0.1238373208333333,-0.09357621875,-0.1224566145833333,-0.0710760234375,-0.0703464166666666,-0.038848334375,-0.0227349979166666,-0.016384428125,0.00658473375,-0.0093336946875,0.0124449510416666,-0.027904125,0.0285195270833333,0.00273749703125,0.0159859925,situp_up,164.0567973466842,163.04437689569383,119.79689304801842,80.57985281847519
1095,-0.01306365,-0.0225424979166666,-0.01599244921875,-0.02076933125,-0.019241584375,-0.0281253,-0.0197241203125,-0.0241907770833333,-0.026416209375,-0.0028220604166666,-0.020066809375,0.0253670583333333,-0.0090034953125,0.0417820104166666,0.02235146875,0.005823645,-0.00436773375,0.0383828916666666,0.0146764,0.0425787854166666,0.019827596875,-0.125744625,-0.0982057875,-0.1309399791666666,-0.098361475,-0.1298245416666666,-0.0966161484375,-0.1283254708333333,-0.0936461624999999,-0.1182039416666666,-0.0689814328125,-0.0720458895833333,-0.0313549875,-0.0251699875,-0.0197027390625,-0.0283883791666666,-0.0082413640625,0.0109884854166666,-0.0363109203125,-0.0117721458333333,-0.0243682437499999,-0.0056660702083333,situp_up,97.41900179291174,162.20920929515805,80.071277277631,68.59336069006973
1096,0.0055020984375,0.0090286333333333,0.00761528984375,0.0112799875,0.003466165625,0.0025475833333333,0.000274567765625,0.0113499383333333,-0.00405338078125,0.0174706416666666,-0.0224384671875,0.0399407708333333,-0.0384647453125,0.0202372041666666,-0.0117505015625,0.0119419708333333,-0.0089564828125,0.0635321729166666,0.00330169640625,0.0529177979166666,0.0232182890625,-0.1113877854166666,-0.08685134375,-0.1150892020833333,-0.0857595984375,-0.11791265,-0.0889405734375,-0.1191656666666666,-0.0832400375,-0.1155668125,-0.0588596828125,-0.08772161875,-0.0407239140625,-0.1198742625,-0.0696663859374999,-0.1233605312499999,0.000153081171875,-0.0002040932708333,-0.02130864375,-0.0653000354166666,0.01573488125,0.0198993854166666,situp_up,70.94154382913595,16.846403158999518,23.821893955876725,51.423483137706874
